id,mini_dis,len_input,len_output,Reduction_rate,time
-1,Insertion,,,,883.375138647003
0,20,20706000,301,99.99854631507775,21.050333906998276
1,10,20706000,1123,99.99457645127016,21.02554975500243
2,5,20706000,3836,99.9814739688979,20.673025893003796
3,2.5,20706000,12820,99.9380855790592,20.754973468996468
4,1.25,20706000,45051,99.78242538394669,21.39753382300114
5,0.625,20706000,158120,99.23635661161016,23.401651975997083
6,0.5,20706000,234848,98.86579735342413,40.6798890390055
7,0.3125,20706000,527181,97.45396986380759,30.270524239000224
8,0.25,20706000,761693,96.32138993528446,45.86655994800094
9,0.15625,20706000,1582673,92.35645223606684,48.126345761003904
10,0.125,20706000,2184683,89.44903409639718,68.44202075499925
11,0.078125,20706000,3972618,80.81416980585338,84.71847763099504
12,0.0625,20706000,4820252,76.72050613348787,117.81320506200427
13,0.0390625,20706000,9167219,55.726750700280114,166.12309674000426
14,0.03125,20706000,10326972,50.12570269487105,212.81391903199983
15,0.01953125,20706000,12629682,39.004723268617795,216.12210631599737
16,0.015625,20706000,13800162,33.35186902347146,270.111331883003
17,0.009765625,20706000,16518927,20.22154447986091,290.03111146000447
18,0.0078125,20706000,17533781,15.320288805177244,337.60866188100044
19,0.0048828125,20706000,20633476,0.35025596445474744,349.04313096900296
